fdc_id,description,serving,grams_per_serving,Starch,Vitamin E,Caffeine,Zinc,Fat,Dietary fiber,Magnesium,Protein,Vitamin C,Sodium,Potassium,Fluoride,Sugars,Calcium,Carbohydrates,Calories,Sucrose,Glucose,Folate,Saturated Fats,Iron,Fructose,Lactose,Vitamin A,Trans Fats,Cholesterol,Vitamin D,price_name,title,category,price_per_pound,price_per_gram,price
339612,"Bread, whole wheat",1 small or thin/very thin slice,24,NA,0.132,0,0.42480000000000007,0.84,1.44,18,2.9879999999999995,0,109.2,60.96,NA,1.0415999999999999,38.64,10.250399999999999,60.48,NA,NA,10.08,0.17328,0.5928,NA,NA,0,NA,0,0,Wheat Bread,Wheat Bread,grain,1.99,0.004387202596165717,0.10529286230797721
339743,"Muffin, fruit",1 Hostess package of 5 mini muffins (2 oz),57,NA,0.9290999999999999,0,0.2109,9.1599,0.627,5.7,2.5593,0.513,191.52,68.97,NA,17.9379,25.08,30.21,213.75,NA,NA,41.61,1.62108,0.7410000000000001,NA,NA,11.97,NA,17.1,0.057,Muffins,Blueberry Muffin,dessert,4.041801225252326,0.008910653682719991,0.5079072599150395
339768,"Cake or cupcake, NS as to type",1 regular cupcake,50,NA,2.165,3,0.29,10.025,1.1,15.5,1.74,0.05,174,135,NA,19.98,15,26.42,194.5,NA,NA,11.5,2.9584999999999995,1.52,NA,NA,0.5,NA,11,0,Cupcakes,Cupcakes,dessert,2.716831871154524,0.00598959388868085,0.2994796944340425
339850,"Cookie, chocolate chip","1 cup, bite size",81,NA,1.6280999999999997,8.91,0.5832,20.0232,1.62,33.21,4.130999999999999,0,251.91,138.51,NA,26.649,17.01,52.9416,398.52,NA,NA,74.52,6.55371,4.5198,NA,NA,0,NA,0,0,Cookies,Cookies,dessert,2.7319117152947974,0.006022839281325062,0.48784998178732997
340112,"Doughnut, raised or yeast","1 small doughnut (approx 3"" dia)",31,NA,0.44329999999999997,0,0.1891,7.036999999999999,0.6510000000000001,5.27,1.9034,0.37199999999999994,97.96,31.62,NA,7.0525,31.31,14.8583,130.51,NA,NA,48.05,2.93043,0.7378,NA,NA,1.55,NA,9.3,0.031,Donuts,Donuts,dessert,2.8002134755050134,0.0061734190098260405,0.19137598930460725
340119,Breakfast tart,1 Pop Tart,54,NA,0.3996,0,0.1944,4.8708,0.972,5.94,2.1654,0,167.94,46.44,NA,16.74,6.48,38.788199999999996,207.9,NA,NA,62.1,1.66914,2.3489999999999998,NA,NA,109.08,NA,0,0,Toaster pastries,Pop-Tart,dessert,2.029851438504475,0.004475060050672134,0.24165324273629527
340176,"Crackers, graham","1 cup, crushed",85,NA,1.2834999999999999,0,0.816,9.01,2.89,34,5.6865,0,390.15,144.5,NA,21.1225,65.45,66.011,365.5,NA,NA,120.7,1.38805,3.213,NA,NA,0,NA,0,0,Graham crackers,Graham Crackers,dessert,2.5910257884936256,0.005712238726638974,0.48554029176431285
340267,"Pretzels, hard",1 cup,40,NA,0.18799999999999997,0,0.41600000000000004,1.172,1.36,11.6,4.016,0.84,496,89.2,NA,0.884,10.8,32.156,153.6,NA,NA,112.4,0.1564,1.8319999999999999,NA,NA,0,NA,0,0,Pretzels,Pretzels,compound,2.6036727359887335,0.005740120495927471,0.22960481983709885
340351,"Spaghetti, cooked, fat not added in cooking","1 cup, cooked",140,NA,0.084,0,0.7140000000000001,1.288,2.52,25.2,8.064,0,324.8,61.6,NA,0.784,9.8,42.952,219.8,NA,NA,165.2,0.245,1.778,NA,NA,0,NA,0,0,Pasta,Pasta,grain,0.5565217391304348,0.0012269214164501022,0.17176899830301431
340453,"Rice, white, cooked, fat not added in cooking","1 cup, cooked",158,NA,0.0632,0,0.7742,0.4424,0.632,18.96,4.2186,0,387.1,55.3,NA,0.079,15.8,44.2242,203.82,NA,NA,151.68,0.12166,1.896,NA,NA,0,NA,0,0,White Rice,Rice,grain,0.24,5.291098608441065e-4,0.08359935801336883
341504,Raisins,1 cup,145,NA,0.174,0,0.319,0.667,5.365,46.4,4.451499999999999,3.335,15.95,1086.05,NA,85.82549999999999,72.5,114.811,433.55,NA,NA,7.25,0.08410000000000001,2.7259999999999995,NA,NA,0,NA,0,0,"Raisins, dried*",Raisins,fruit,2.3738725378376246,0.005233497367320466,0.7588571182614675
341529,"Banana, raw","1 cup, NFS",150,NA,0.15,0,0.225,0.495,3.9,40.5,1.635,13.05,1.5,537,NA,18.345,7.5,34.26,133.5,NA,NA,30,0.168,0.39,NA,NA,4.5,NA,0,0,Bananas,Banana,fruit,0.4608389370612445,0.0010159767744167545,0.15239651616251318
341562,"Grapes, raw, NS as to type","1 cup, seedless",151,NA,0.2869,0,0.1057,0.2416,1.359,10.57,1.0872,4.832000000000001,3.02,288.41,NA,23.3748,15.1,27.331000000000003,104.19,NA,NA,3.02,0.08154,0.5436,NA,NA,4.53,NA,0,0,Grapes,Grapes,fruit,1.6516979042014515,0.0036413735343688853,0.5498474036897016
341591,"Peach, cooked or canned, drained solids",1 cup,222,NA,2.6418,0,0.1998,0.3996,2.6639999999999997,11.1,1.1543999999999999,1.5539999999999998,13.32,208.68,NA,32.5452,6.66,40.9146,159.84,NA,NA,19.98,0.028859999999999997,0.5994,NA,NA,68.82,NA,0,0,"Peaches, canned*",Canned Peaches,fruit,1.114872361183348,0.0024578748328527578,0.5456482128933122
341608,"Pineapple, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener","1 cup, crushed, sliced, or chunks",249,NA,0.024900000000000002,0,0.24900000000000003,0.19920000000000002,1.9920000000000002,34.86,1.0458,23.655,2.49,303.78,NA,35.9805,34.86,39.092999999999996,149.4,NA,NA,12.45,0.01494,0.6972000000000002,NA,NA,4.98,NA,0,0,"Pineapple, canned*",Canned Pineapple,fruit,0.9399879248726617,0.002072320333852144,0.516007763129184
341892,"White potato chips, lightly salted",1 cup,20,NA,1.544,0,0.302,7.077999999999999,0.84,12.4,1.344,5.46,37.4,260.8,NA,0.068,4.8,10.708,112,NA,NA,11.6,1.098,0.286,NA,NA,0,NA,0,0,Potato chips,Potato Chips,compound,3.8611602568208614,0.008512408192430336,0.17024816384860672
342480,"Sweet potato, baked, peel not eaten, fat not added in cooking",1 cup,200,NA,1.42,0,0.64,0.3,6.6,54,4.02,39.2,72,950,NA,12.96,76,41.42,180,NA,NA,12,0.10400000000000001,1.38,NA,NA,1922,NA,0,0,"Sweet potatoes, cooked*",Sweet potatoes,grain,0.9195118852339632,0.0020271783568360183,0.40543567136720365
342633,"Pepper, sweet, red, raw","1 cup, chopped",149,NA,2.3542,0,0.3725,0.44699999999999995,3.1290000000000004,17.88,1.4750999999999999,190.273,5.96,314.39,NA,6.258000000000001,10.43,8.9847,46.19,NA,NA,68.54,0.040229999999999995,0.6406999999999999,NA,NA,233.93,NA,0,0,Red peppers*,Red peppers,vegetable,3.0122567896480237,0.006640894878322421,0.9894933368700408
343813,"Butter, stick, salted",1 tablespoon,14.2,NA,0.32943999999999996,0,0.012779999999999998,11.517619999999999,0,0.284,0.12069999999999999,0,91.306,3.4079999999999995,NA,0.00852,3.4079999999999995,0.00852,101.814,NA,NA,0.42599999999999993,7.294256000000001,0.0028399999999999996,NA,NA,97.12799999999999,NA,30.53,0,Salted Butter,Salted Butter,dairy,3.24,0.00714298312139544,0.10143036032381525
344031,Ice pop,1 miniature popsicle,26,NA,0,0,0.039,0.062400000000000004,0,0.26,0,0.182,1.82,3.9,NA,3.5516,0,4.9998000000000005,20.54,NA,NA,0,0.0033799999999999998,0.1404,NA,NA,0,NA,0,0,Popsicles and bars5,Popsicle,dessert,0.34,7.495723028624844e-4,0.019488879874424596
